date, pm25, pm10, o3, no2, so2, co
2025/8/2, 30, 31, 39, 9, 3, 8
2025/8/3, 48, 37, 43, 7, 5, 8
2025/8/4, 53, 37, 44, 6, 5, 8
2025/8/5, 44, 31, 36, 4, 5, 8
2025/8/6, 46, 17, 11, 3, 3, 7
2025/8/7, 33, , , , , 
2025/8/10, 59, 38, 38, 3, 4, 8
2025/8/11, 62, 39, 42, 9, 5, 10
2025/8/12, 53, 31, 35, 5, 4, 9
2025/8/13, 50, 28, 44, 5, 3, 10
2025/8/14, 55, 49, 38, 6, 4, 10
2025/8/15, 64, 40, 29, 4, 4, 10
2025/8/16, 65, 39, 51, 4, 3, 11
2025/8/17, 74, 58, 35, 5, 4, 11
2025/8/18, 75, 24, 30, 4, 4, 11
2025/8/19, 37, 29, 41, 5, 4, 11
2025/8/20, 39, 22, 42, 11, 3, 12
2025/8/21, 35, 37, 54, 15, 3, 13
2025/8/22, 54, 30, 54, 10, 4, 12
2025/8/23, 48, 30, 54, 13, 3, 13
2025/8/24, 51, 18, 57, 9, 3, 13
2025/8/25, 38, 35, 48, 11, 3, 14
2025/8/26, 45, 35, 33, 7, 3, 13
2025/8/27, 52, 32, 36, , , 
2025/8/28, 42, 31, 54, , , 
2025/8/29, 35, 30, 14, , , 
2025/8/30, 36, , , , , 
2025/7/2, 33, 25, 17, 5, 2, 6
2025/7/3, 45, 37, 50, 5, 2, 6
2025/7/4, 62, 43, 42, 12, 2, 7
2025/7/5, 45, 58, 36, 11, 2, 8
2025/7/6, 99, 48, 42, 4, 3, 6
2025/7/7, 84, 36, 26, 3, 2, 6
2025/7/8, 62, 30, 27, 3, 2, 6
2025/7/9, 56, 25, 28, 3, 2, 6
2025/7/10, 42, 31, 47, 4, 2, 6
2025/7/11, 57, 32, 36, 4, 2, 7
2025/7/12, 60, 33, 37, 3, 2, 7
2025/7/13, 71, 30, 37, 4, 2, 7
2025/7/14, 58, 27, 34, 4, 2, 7
2025/7/15, 54, 31, 38, 4, 2, 8
2025/7/16, 62, 37, 52, 6, 3, 8
2025/7/17, 65, 53, 48, 6, 4, 8
2025/7/18, 99, 41, 31, 4, 2, 7
2025/7/19, 79, 33, 12, 6, 2, 4
2025/7/20, 56, 32, 17, 7, 2, 5
2025/7/21, 54, 37, 13, 6, 2, 4
2025/7/22, 54, 43, 19, 10, 2, 4
2025/7/23, 62, 30, 40, 4, 3, 4
2025/7/24, 55, 30, 58, 6, 3, 6
2025/7/25, 47, 32, 57, 7, 3, 6
2025/7/26, 44, 31, 32, 8, 3, 7
2025/7/27, 54, 21, 28, 6, 2, 6
2025/7/28, 42, 30, 24, 3, 2, 6
2025/7/29, 44, 39, 31, 4, 2, 7
2025/7/30, 52, 37, 37, 8, 5, 7
2025/7/31, 47, 29, 39, 5, 5, 7
2025/8/1, 41, 26, 38, 6, 4, 7
2025/4/2, 93, 56, 77, 14, 6, 
2025/4/3, 86, 56, 67, 18, 5, 
2025/4/4, 74, 55, 66, 14, 6, 
2025/4/5, 76, 49, 44, 7, 5, 
2025/4/6, 48, 45, 28, 5, 5, 
2025/4/7, 24, 32, 46, 16, 6, 2
2025/4/8, 42, 34, 67, 19, 6, 4
2025/4/9, 42, 52, 81, 25, 9, 5
2025/4/10, 62, 47, 64, 26, 8, 5
2025/4/11, 65, 45, 51, 16, 13, 5
2025/4/12, 62, 46, 47, 14, 5, 4
2025/4/13, 56, 45, 55, 18, 9, 5
2025/4/14, 70, 42, 50, 16, 7, 5
2025/4/15, 64, 45, 39, 10, 9, 5
2025/4/16, 93, 41, 40, 5, 5, 5
2025/4/17, 64, 40, 45, 8, 5, 6
2025/4/18, 69, 45, 52, 9, 5, 7
2025/4/19, 80, 45, 35, 5, 5, 7
2025/4/20, 92, 50, 49, 6, 5, 6
2025/4/21, 65, 44, 49, 15, 7, 7
2025/4/22, 61, 35, 25, 5, 5, 7
2025/4/23, 67, 28, 25, 5, 4, 8
2025/4/24, 61, 35, 28, 7, 5, 8
2025/4/25, 70, 33, 26, 5, 5, 8
2025/4/26, 78, 34, 27, 6, 4, 9
2025/4/29, 78, 39, 27, 8, 5, 9
2025/4/30, 66, 42, 51, 13, 5, 10
2025/5/1, 67, 43, 36, 9, 6, 10
2025/5/2, 80, 35, 38, 8, 4, 10
2025/5/3, 76, 26, 19, 13, 4, 10
2025/5/4, 36, 17, 25, 7, 4, 11
2025/5/5, 34, 35, 32, 6, 4, 11
2025/5/6, 62, 42, 62, 11, 5, 12
2025/5/7, 80, 37, 47, 9, 5, 11
2025/5/8, 68, 22, 32, 5, 4, 12
2025/5/9, 57, 27, 39, 18, 4, 12
2025/5/10, 43, 27, 46, 18, 4, 12
2025/5/11, 44, 23, 58, 13, 6, 11
2025/5/12, 42, 33, 89, 20, 6, 12
2025/5/13, 51, 51, 96, 30, 8, 15
2025/5/14, 71, 62, 96, 32, 9, 16
2025/5/15, 94, 58, 91, 18, 8, 16
2025/5/16, 107, 53, 51, 21, 7, 17
2025/5/17, 112, 50, 32, 9, 5, 16
2025/5/18, 108, 44, 36, 8, 5, 16
2025/5/19, 107, 48, 61, 12, 6, 16
2025/5/20, 96, 48, 28, 12, 5, 17
2025/5/21, 90, 43, 32, 12, 5, 17
2025/5/22, 92, 21, 52, 11, 9, 16
2025/5/23, 53, 25, 31, 6, 4, 17
2025/5/24, 77, 34, 48, 6, 4, 17
2025/5/25, 76, 25, 38, 6, 5, 17
2025/5/26, 59, 50, 50, 13, 5, 18
2025/5/27, 78, 38, 31, 10, 6, 18
2025/5/28, 85, 32, 28, 5, 4, 18
2025/5/29, 71, 24, 43, 8, 5, 18
2025/5/30, 63, 24, 13, 11, 3, 19
2025/5/31, 59, 34, 27, 15, 5, 21
2025/6/1, 62, 35, 35, 7, 5, 19
2025/6/2, 74, 48, 29, 6, 4, 20
2025/6/3, 65, 45, 51, 6, 4, 20
2025/6/4, 79, 37, 27, 5, 4, 20
