date, pm25, o3, no2, so2, co
2024/7/10, 13, 42, , 3, 
2024/7/11, 21, 28, , 3, 
2024/7/14, 31, 31, , 3, 1
2024/7/15, 57, 36, , 3, 
2024/7/16, 22, 49, , 3, 1
2024/7/17, 28, 40, , 3, 1
2024/7/18, 15, 39, , 3, 
2024/7/19, 14, 43, , 3, 
2024/7/20, 22, 38, , 3, 1
2024/7/21, 23, 41, , 3, 1
2024/7/22, 12, 41, , 3, 
2024/7/23, 5, 31, , 3, 1
2024/7/24, 6, 30, , 3, 1
2024/7/25, 13, 32, , 3, 1
2024/7/26, 10, 37, , 3, 1
2024/7/27, 10, 33, , 2, 1
2024/7/28, 13, 37, , 1, 1
2024/7/29, 16, 36, , 1, 1
2024/7/30, 18, 43, , 1, 2
2024/7/31, 14, 38, , 1, 1
2024/8/1, 13, 41, , 1, 1
2024/8/2, 18, 40, , 1, 1
2024/8/3, 13, 41, , 1, 1
2024/8/4, 5, 46, , 1, 1
2024/8/5, 15, 42, , 1, 1
2024/8/6, 22, 36, , 1, 1
2024/8/7, 11, 34, , 1, 1
2024/8/8, 27, 211, , 1, 1
2024/8/9, 32, 232, , 1, 2
2024/8/10, 28, , , 1, 2
2024/8/11, 49, , , 1, 2
2024/8/12, 46, , , 1, 3
2024/8/13, 20, , , 1, 2
2024/8/14, 22, , , 1, 1
2024/8/15, 40, , , 1, 2
2024/8/16, 21, 246, , 1, 1
2024/8/17, 20, , , 1, 2
2024/8/18, 19, , , 1, 2
2024/8/19, 24, , , , 2
2024/8/20, 31, , , , 3
2024/8/21, 28, , , , 2
2024/8/22, 29, , , , 2
2024/8/23, 22, , , , 2
2024/8/24, 14, , , , 2
2024/8/25, 24, , , , 2
2024/8/26, 31, , , , 2
2024/8/27, 27, , , , 2
2024/8/28, 29, , , , 2
2024/8/29, 15, , , , 2
2024/8/30, 11, , , 1, 2
2024/8/31, 15, , , , 2
2024/9/1, 12, , , , 2
2024/9/2, 19, , , , 2
2024/9/3, 15, , , , 2
2024/9/4, 21, , , 1, 2
2024/9/5, 21, , , , 2
2024/9/6, 24, , , , 3
2024/9/7, 18, , , 1, 2
2024/9/8, 15, , , , 2
2024/9/9, 12, , , , 2
2024/9/10, 20, , , , 3
2024/9/11, 9, , , , 3
2024/9/12, 8, 238, , , 2
2024/9/13, 13, 243, , , 2
2024/9/14, 24, , , , 3
2024/9/15, 23, , , , 2
2024/9/16, 23, , , , 3
2024/9/17, 34, , , , 3
2024/9/18, 30, , , , 3
2024/9/19, 26, , , , 3
2024/9/20, 22, , , , 3
2024/9/21, 23, , , , 3
2024/9/22, 22, , , 1, 3
2024/9/23, 21, , , 1, 2
2024/9/24, 22, , , 1, 3
2024/9/25, 17, , , 1, 3
2024/9/26, 9, , , 1, 3
2024/9/27, 5, , , 1, 2
2024/9/28, 10, , , 1, 3
2024/9/29, 8, , , 1, 2
2024/9/30, 21, , , 1, 3
2024/10/1, 21, , , 1, 3
2024/4/7, 93, 50, , 1, 2
2024/4/9, 93, 44, , 1, 2
2024/4/10, 93, 39, , 1, 2
2024/4/11, 93, 49, , 1, 3
2024/4/12, 93, 74, , 1, 2
2024/4/24, 112, 68, , 1, 1
2024/4/25, 116, 67, , 1, 1
2024/4/26, 139, 62, , 1, 1
2024/4/27, 141, 68, , 1, 
2024/4/28, 122, 51, , 1, 
2024/4/29, 89, 63, , 1, 1
2024/4/30, 103, 61, , 1, 1
2024/5/1, 103, 51, , 1, 
2024/5/2, 88, 52, , , 
2024/5/3, 84, 71, , 1, 
2024/5/4, 106, 74, , 1, 
2024/5/5, 102, 78, , 1, 
2024/5/6, 81, 75, , 1, 4
2024/5/7, 83, 65, , 1, 5
2024/5/8, 98, 73, , 1, 6
2024/5/9, 112, 78, , 1, 6
2024/5/10, 142, 56, , 1, 4
2024/5/11, 98, 52, , 1, 3
2024/5/12, 74, 65, , 1, 5
2024/5/13, 123, 66, , 1, 6
2024/5/14, 144, 65, , 1, 5
2024/5/15, 138, 58, , 1, 4
2024/5/16, 121, 50, , , 
2024/5/17, 89, 56, , 1, 3
2024/5/18, 73, 56, , 1, 2
2024/5/19, 61, 83, , , 3
2024/5/20, 72, 58, , , 3
2024/5/21, 65, 73, , , 2
2024/5/22, 69, 66, , , 2
2024/5/23, 64, 61, , 1, 3
2024/5/24, 68, 67, , , 3
2024/5/25, 72, 79, , , 2
2024/5/26, 55, 72, , , 3
2024/5/27, 74, 65, , , 
2024/5/28, 43, 69, , , 2
2024/5/29, 99, 65, , , 1
2024/5/30, 98, 71, , , 1
2024/5/31, 87, 88, , , 1
2024/6/1, 76, 65, , , 1
2024/6/2, 92, 63, , , 
2024/6/3, 75, 51, , 1, 
2024/6/4, 75, 62, , , 
2024/6/5, 72, 70, , 1, 1
2024/6/6, 77, 72, , 1, 1
2024/6/7, 93, 72, , 1, 1
2024/6/8, 97, 59, , , 
2024/6/9, 83, 57, , , 
2024/6/10, 81, 84, , , 
2024/6/11, 64, 74, , , 
2024/6/12, 49, 66, , , 
2024/6/13, 52, 53, , , 
2024/6/14, 34, 58, , , 
2024/6/15, 31, 72, , , 
2024/6/16, 33, 72, , , 
2024/6/17, 33, 66, , , 
2024/6/18, 33, 53, , , 
2024/6/19, 34, 60, , , 1
2024/6/20, 28, 276, , , 
2024/6/21, 26, 254, , , 
2024/6/22, 18, 45, , , 
2024/6/23, 13, 36, , , 
2024/6/24, 13, 22, , , 
2024/6/25, 12, 34, , , 
2024/6/26, 11, 36, , , 
2024/6/27, 14, 40, , , 
2024/6/28, 36, 31, , 1, 
2024/6/30, 13, 34, , 3, 
2024/7/1, 7, 18, , 3, 
2024/1/2, 109, 47, , 1, 
2024/1/3, 92, 38, , , 
2024/1/4, 76, 34, , , 
2024/1/5, 66, 32, , , 
2024/1/6, 59, 34, , 1, 
2024/1/7, 69, 32, , 1, 
2024/1/8, 67, 33, , 1, 
2024/1/9, 66, 34, , , 
2024/1/10, 57, 36, , 1, 
2024/1/11, 69, 38, , , 
2024/1/12, 55, 41, , 1, 
2024/1/13, 68, 40, , 1, 
2024/1/14, 64, 37, , 1, 
2024/1/15, 61, 40, , 1, 
2024/1/16, 69, 48, , , 
2024/1/17, 74, , , , 
2024/1/31, 141, 60, , 2, 
2024/2/1, 101, 41, , 1, 2
2024/2/2, 90, 40, , 1, 
2024/2/3, 75, 31, , , 
2024/2/4, 46, , , , 
2024/2/12, 44, , , , 
2024/2/13, 57, 23, , 1, 
2024/2/14, 61, 23, , 1, 1
2024/2/15, 81, 23, , 1, 
2024/2/16, 81, , , 1, 
2024/2/17, 80, , , , 
2024/2/18, 35, , , , 
2024/2/19, 56, , , 1, 
2024/2/20, 86, 55, , 1, 6
2024/2/21, 87, 79, , 3, 3
2024/2/22, 87, 80, , 3, 2
2024/2/23, 81, 85, , 3, 3
2024/2/24, 98, 87, , 3, 3
2024/2/25, 103, 86, , 3, 3
2024/2/26, 105, 53, , 3, 3
